,pressure_dev,3s,5s,8s,10s,20s
0,-0.5,0.06333333333333258,0.029999999999999805,0.04249999999999954,0.04999999999999982,0.04749999999999943
1,-0.10000000000000142,-0.1166666666666667,-0.1200000000000001,-0.11250000000000071,-0.1200000000000001,-0.08499999999999996
2,-1.5999999999999996,-0.043333333333333446,-0.11000000000000032,-0.26000000000000023,-0.26000000000000023,-0.26000000000000023
3,-0.40000000000000036,0.029999999999998916,-0.020000000000000462,0.05499999999999927,0.05499999999999927,0.05499999999999927
4,-0.1999999999999993,0.016666666666666607,-0.020000000000000462,-0.025000000000000355,-0.025000000000000355,-0.025000000000000355
5,-0.10000000000000053,-0.07666666666666666,-0.07000000000000028,-0.03500000000000014,-0.01499999999999968,0.04249999999999954
6,-0.09999999999999964,-0.03333333333333366,-0.010000000000000231,-0.04375000000000062,-0.0600000000000005,-0.04499999999999993
7,-0.3999999999999986,0.026666666666666394,0.09999999999999964,0.10999999999999988,0.0649999999999995,0.0024999999999990585
8,-0.1999999999999993,0.1633333333333331,0.13399999999999945,0.11999999999999966,0.13200000000000012,0.09349999999999925
9,-0.09999999999999964,0.07333333333333325,0.06400000000000006,0.04624999999999968,0.041999999999999815,0.048499999999999766
10,-0.10000000000000142,0.0033333333333338544,0.04999999999999982,0.026250000000000107,0.03500000000000014,0.04750000000000032
11,-0.1999999999999993,0.07000000000000028,0.017999999999999794,-0.01750000000000007,-0.02600000000000069,0.0045000000000001705
12,-0.09999999999999964,-0.02666666666666595,4.440892098500626e-16,0.017500000000000515,0.007000000000000561,0.021000000000000796
13,-0.09999999999999964,0.023333333333333428,0.03000000000000025,0.03000000000000025,0.021999999999999797,0.02049999999999974
14,-2.6999999999999993,-0.03399999999999981,-0.05399999999999894,-0.08399999999999919,-0.09899999999999931,-0.05399999999999938
15,-0.1999999999999993,-0.13666666666666671,-0.13000000000000034,-0.12000000000000055,-0.10800000000000054,-0.07062500000000016
16,-0.09999999999999964,0.0033333333333334103,0.020000000000000018,-0.017499999999999627,-0.015000000000000124,-0.0072727272727268755
17,-1.3000000000000007,4.440892098500626e-16,-0.019999999999999574,-0.04124999999999979,-0.042999999999999705,-0.028000000000000025
18,-0.3000000000000007,0.012666666666666604,0.0259999999999998,-0.0039999999999995595,0.001000000000000778,-0.02950000000000008
19,-0.8000000000000007,-0.04999999999999982,-0.040000000000000036,0.006249999999999645,0.004999999999999449,0.022499999999999964
20,-0.09999999999999964,-0.0259999999999998,-0.055999999999999606,-0.032249999999999446,-0.010999999999999233,0.016499999999999737
21,-0.3000000000000007,0.10666666666666691,0.11399999999999988,0.11125000000000052,0.10699999999999976,0.10299999999999931
22,-0.09999999999999964,-0.0019999999999997797,0.02800000000000047,0.06675000000000031,0.058000000000000274,0.052999999999999936
23,-0.40000000000000036,0.01600000000000046,-0.013999999999999346,-0.02149999999999963,-0.013999999999999346,-0.0029999999999996696
24,-0.20000000000000107,-0.09666666666666623,-0.029999999999999805,-0.017499999999999627,-0.019999999999999574,-0.019999999999999574
25,-0.5999999999999996,-0.040000000000000036,-0.03000000000000025,-0.0024999999999999467,-0.004999999999999449,-0.0050000000000003375
26,-0.20000000000000107,-0.01666666666666705,-0.020000000000000462,-0.03125,-0.01499999999999968,-0.0024999999999999467
27,-0.1999999999999993,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.015000000000000124,0.02050000000000063
28,-0.20000000000000107,0.11666666666666714,0.11000000000000032,0.050000000000000266,0.04999999999999982,0.05249999999999977
29,-0.29999999999999893,-0.17200000000000015,-0.21199999999999974,-0.20950000000000024,-0.19200000000000017,-0.02755555555555622
30,-0.1999999999999993,0.029999999999999805,0.0,-0.007500000000000284,-0.010000000000000675,-0.03250000000000064
31,-1.5,0.10666666666666647,0.03600000000000003,0.05249999999999977,0.05799999999999983,0.11149999999999949
32,-0.09999999999999964,-0.03333333333333277,-0.009999999999999787,-0.043749999999999734,-0.02999999999999936,-0.06749999999999945
33,-0.09999999999999964,0.010000000000000231,0.009999999999999787,-0.0024999999999999467,-0.004999999999999893,0.020000000000000018
34,-0.5,0.22666666666666657,0.1200000000000001,0.04125000000000023,0.04125000000000023,0.04125000000000023
35,-0.3000000000000007,0.15333333333333332,0.10000000000000009,0.02833333333333332,0.02833333333333332,0.02833333333333332
36,-0.3999999999999986,-0.0033333333333334103,-0.0900000000000003,-0.13250000000000028,-0.16500000000000048,-0.13250000000000028
37,-0.1999999999999993,0.043333333333333446,-0.020000000000000018,-0.015000000000000124,0.0,-0.009230769230769376
38,-0.20000000000000107,-0.020000000000000462,-0.010000000000000231,-0.007500000000000284,0.0009999999999994458,0.015499999999999403
39,-1.4000000000000004,0.0,0.0,0.012500000000000178,0.020000000000000462,0.038000000000000256
40,-0.10000000000000142,-0.03666666666666707,-0.04999999999999982,-0.05125000000000002,-0.04500000000000037,-0.002500000000000391
41,-1.1999999999999993,-0.05333333333333323,-0.08999999999999986,-0.0887500000000001,-0.10000000000000009,-0.0825000000000009
42,-0.1999999999999993,0.2699999999999996,0.1999999999999993,0.18874999999999975,0.15499999999999892,0.10333333333333261
43,-0.09999999999999964,0.1566666666666663,0.11000000000000032,0.08999999999999986,0.08499999999999952,0.05874999999999986
44,-0.3000000000000007,0.013333333333333197,-0.020000000000000462,-0.026250000000000107,-0.02499999999999991,-0.04000000000000048
45,-2.499999999999999,-0.1333333333333333,-0.06000000000000005,-0.012499999999999734,-0.019999999999999574,-0.017499999999999627
46,-0.9999999999999991,0.013333333333333641,0.010000000000000675,-0.038749999999999396,-0.044999999999999485,-0.044999999999999485
47,-0.09999999999999964,-0.06666666666666643,0.0,0.0,0.0,0.18333333333333401
48,-0.8999999999999995,0.1500000000000008,0.11000000000000032,0.056250000000000355,0.056250000000000355,0.026470588235294024
49,-0.09999999999999964,0.16999999999999948,0.17999999999999972,0.10749999999999993,0.09999999999999964,0.09083333333333332
50,-0.40000000000000036,-0.18666666666666698,-0.1900000000000004,-0.16375000000000073,-0.16500000000000048,-0.12416666666666698
51,-0.09999999999999964,-0.13999999999999968,-0.2199999999999993,-0.26499999999999924,-0.12333333333333307,-0.12333333333333307
52,-0.5,-0.1466666666666674,-0.10000000000000053,-0.005000000000000782,0.009999999999998899,0.004999999999999005
53,-0.09999999999999964,-0.11000000000000032,-0.13000000000000078,-0.1912500000000006,-0.19500000000000028,-0.19250000000000078
54,-0.5,0.07999999999999963,0.059999999999999165,0.04874999999999918,0.0449999999999986,-0.01250000000000151
55,-0.09999999999999964,-0.006666666666667709,-0.020000000000000906,-0.008750000000000924,-0.055000000000000604,-0.055000000000000604
56,-0.3000000000000007,0.21666666666666634,0.2199999999999993,0.23124999999999973,0.2450000000000001,0.25500000000000034
57,-0.10000000000000053,-0.06333333333333391,-0.020000000000000462,-0.0050000000000003375,0.08999999999999986,0.08999999999999986
